Product Name,Username,Review_Title,Review,Rating
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Fabulous!,Good product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Soma Dutta,Wonderful,This r nice product im use and satisfaction,5
['Flipkart SmartBuy 1000 W Dry Iron'],Arif  Raza,Simply awesome,Good quality,5
['Flipkart SmartBuy 1000 W Dry Iron'],Nandam,Worth every penny,Nice product THQ flipcard,5
['Flipkart SmartBuy 1000 W Dry Iron'],Arvind  Sen,Fabulous!,Nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],Manjee Kumar,Simply awesome,nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],VIVEK PATEL,Classy product,Nice product but my delivery is so late.So i am not happy from flipkart delivery proses,5
['Flipkart SmartBuy 1000 W Dry Iron'],Rajendra Kumar  Chandrawal,Simply awesome,"Very nice, quality is too good. We can't find in this price like it other product",5
['Flipkart SmartBuy 1000 W Dry Iron'],Arun Kumar Singh,Wonderful,Work very fine no any problem,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Super!,Very nice product no doubt in purchasing it who ever reading my review,5
['Flipkart SmartBuy 1000 W Dry Iron'],Puja Regon,Just wow!,Good product and  great quality with low price. I love it. Thank You So much Flipkart.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Dhan Thapa,Simply awesome,"5 years after fine working till date now no problem i have face yet. Go blindly for this product i can bet for this, you won't regret it.",5
['Flipkart SmartBuy 1000 W Dry Iron'],NAMDEV  JAGTAP,Awesome,Nice product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Tasavvur Khan,Terrific,Good product And Very nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],Isa Haque,Great product,Nice Product 🥰🥰🥰🥰 & Best Price,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Excellent,Vgood,5
['Flipkart SmartBuy 1000 W Dry Iron'],Nithin  Kumar,Mind-blowing purchase,excellent i bought for 325 only,5
['Flipkart SmartBuy 1000 W Dry Iron'],RITIK CHOUDHARY,Mind-blowing purchase,Good quality in this price.,5
['Flipkart SmartBuy 1000 W Dry Iron'],Deepak  Kumar,Highly recommended,super 👌👌👌👌,5
['Flipkart SmartBuy 1000 W Dry Iron'],Manish kumar,Must buy!,this product is very  very good,5
['Flipkart SmartBuy 1000 W Dry Iron'],sangaru Mahesh,Perfect product!,Super iron box vrery fastly,5
['Flipkart SmartBuy 1000 W Dry Iron'],ravindrakumar  ravi,Fabulous!,nice price good service,5
['Flipkart SmartBuy 1000 W Dry Iron'],Avijit Jana,Great product,It's works well and it heats up very quick. And the most important thing is it is easy to use because of smart dial.,5
['Flipkart SmartBuy 1000 W Dry Iron'],SATISH KUMAR MANDAL,Brilliant,very nice and all mode is available for this prize range I am very happy for flipkart smartbuy thank for flipkart,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sunil Kumar,Classy product,good iron I am using,5
['Flipkart SmartBuy 1000 W Dry Iron'],Nitu  Singh,Highly recommended,good product,5
['Flipkart SmartBuy 1000 W Dry Iron'],Adarsh Singh,Terrific,"best service by Flipkart and the very nice productlight weighted, looks good, classy.",5
['Flipkart SmartBuy 1000 W Dry Iron'],suhel ahamad,Awesome,"Nice Product in this price, In got it for 365 rupees only at offer time",5
['Flipkart SmartBuy 1000 W Dry Iron'],Rajat Barman,Simply awesome,nice product in cheap price,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sourabh kumar Mehra,Worth every penny,good,5
['Flipkart SmartBuy 1000 W Dry Iron'],Anamika Ojha,Brilliant,Very nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Classy product,super,5
['Flipkart SmartBuy 1000 W Dry Iron'],Mangu  Rathore,Decent product,Nycc. God protect.,3
['Flipkart SmartBuy 1000 W Dry Iron'],Shahidraja Ansari,Does the job,Good,3
['Flipkart SmartBuy 1000 W Dry Iron'],Pushpendra singh Patel,Great product,I brought this for 349 ru it is worth of it . Look is very nice and it is working awesome,5
['Flipkart SmartBuy 1000 W Dry Iron'],Moli Mondal,Great product,"I am very happy, I have taken this four times with Flipkart, and my whole family is very happy, very big thank you flipkart",5
['Flipkart SmartBuy 1000 W Dry Iron'],V.sathibsbu  Sathish,Classy product,nice,5
['Flipkart SmartBuy 1000 W Dry Iron'],Dipak Patil,Mind-blowing purchase,super product.....,5
['Flipkart SmartBuy 1000 W Dry Iron'],Mukesh Kumar,Does the job,Not bad good product for daily use,3
['Flipkart SmartBuy 1000 W Dry Iron'],Priyanka  Bharti,Nice product,very nice iron,4
['Flipkart SmartBuy 1000 W Dry Iron'],Milan Parmar,Awesome,Nice And paisa vasul product 👍,5
['Flipkart SmartBuy 1000 W Dry Iron'],Sknasi Ali,Terrific purchase,Vere good night,5
['Flipkart SmartBuy 1000 W Dry Iron'],Deepak Singh,Value-for-money,Nice product and cheap price,4
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Simply awesome,Nice product..,5
['Flipkart SmartBuy 1000 W Dry Iron'],Cholkar  Tarun,Value-for-money,Nise product,4
['Flipkart SmartBuy 1000 W Dry Iron'],Rishab tyagi Customer,Utterly Disappointed,Worst product  Ever do not Buy. Else  call customer care on daily basis.,1
['Flipkart SmartBuy 1000 W Dry Iron'],Robin,Highly recommended,"Even After 4 and half years ,the iron is successfully working without any issue.Worth for buying,best by Flipkart.",5
['Flipkart SmartBuy 1000 W Dry Iron'],Rajneesh Pandey,Not good,This product is not capacity.,2
['Flipkart SmartBuy 1000 W Dry Iron'],Flipkart Customer,Classy product,3 year's completed exlent work,5
['Flipkart SmartBuy 1000 W Dry Iron'],Lipi Sahu,Terrific purchase,Nice product,5
